Date;Open;High;Low;Close;Adj Close;Volume
15/03/2024;7408,658203;7416,338867;7308,035156;7328,054199;7328,054199;231480500
18/03/2024;7338,076172;7358,550781;7300,940918;7302,449219;7302,449219;155334600
19/03/2024;7320,538086;7361,529785;7314,180176;7336,746094;7336,746094;137594400
20/03/2024;7303,929199;7343,459961;7295,350098;7331,12793;7331,12793;169731600
21/03/2024;7360,558105;7396,471191;7336,595215;7338,353027;7338,353027;139792200
22/03/2024;7327,51416;7350,151855;7318,436035;7350,151855;7350,151855;123735900
25/03/2024;7339,523926;7377,759766;7316,929199;7377,759766;7377,759766;124315600
26/03/2024;7337,661133;7371,844238;7330,463867;7365,664063;7365,664063;138442500
27/03/2024;7364,230957;7375,399902;7292,797852;7310,091797;7310,091797;125276700
28/03/2024;7289,158203;7313,01416;7244,954102;7288,812988;7288,812988;124084200
01/04/2024;7286,11377;7295,00293;7137,463867;7205,061035;7205,061035;124345600
02/04/2024;7199,124023;7236,983887;7153,938965;7236,983887;7236,983887;127711500
03/04/2024;7214,02002;7226,353027;7158,740234;7166,844238;7166,844238;111040300
04/04/2024;7170,719238;7254,398926;7165,831055;7254,398926;7254,398926;108900300
05/04/2024;7245,321777;7298,858887;7239,273926;7286,881836;7286,881836;94886600
16/04/2024;7130,62793;7188,088867;7066,573242;7164,807129;7164,807129;175642500
17/04/2024;7199,830078;7234,374023;7130,84082;7130,84082;7130,84082;143541300
18/04/2024;7151,737793;7180,559082;7135,52002;7166,813965;7166,813965;129376600
19/04/2024;7131,455078;7141,581055;7036,206055;7087,316895;7087,316895;150694500
22/04/2024;7099,51709;7117,023926;7026,477051;7073,819824;7073,819824;121595900
23/04/2024;7102,903809;7165,954102;7099,841797;7121,111816;7121,111816;0
